english,tamil
"The Bible says that if Christ is resurrected or not, your faith is worthless.","பைபிள் சொல்லுது, கிறிஸ்து உயிர்த்தெடுக்கப்பட்டாரா இல்லன்னா, உங்க விசுவாசம் பயனுள்ளதில்லைன்னு."
"Barrymore's first name was Drew, the maiden name of her grandfather, Georgie Drew. Middle name Blythe is the surname of the family used by her grandfather Maurice Barrymore.","Barrymore-ஓட முதல் பேரு Drew, அது அவங்க தாத்தா Georgie Drew-ஓட maiden name. Middle name Blythe, அவங்க தாத்தா Maurice Barrymore use பண்ணின family-ஓட surname."
Prime Minister Narendra Modi has said that the agrarian reforms have opened the doors of new opportunities for farmers and given more rights to the farmers.,விவசாய சீர்திருத்தங்கள் விவசாயிகளுக்கு புதிய வாய்ப்புகளோட கதவிகளைத் திறந்து விவசாயிகளுக்கு அதிக உரிமைகளை வழங்கியிருக்குன்னு பிரதமர் நரேந்திர மோடி கூறியுள்ளார்.
All signals from Washington show that the US is not ready to create diplomatic tensions in Turkey because it supports Kurdish demands for referendum in June.,"June-ல referendum பண்றதுக்கான Kurdish demands-க்கு support பண்றதால, Turkey-ஓட diplomatic tensions-ஐ உருவாக்க US தயாரில இல்லன்னு Washington-ல இருந்து வர்ற எல்லா signals-ம் காட்டுது."
"(For example, Cobra venom is an accepted medication for blood disorders.) Doctor's","( உதாரணத்துக்கு, blood disorders-க்கு Cobra venom ஒரு accepted medication-ஆ இருக்கு. ) டாக்டர் அவர்களோட"
Oh my gosh!,அடப்பாவமே!
All states should implement the law to pass Parliament.,Parliament pass பண்ண சட்டத்த எல்லா states-ம் implement பண்ணனும்.
The necessary instruction and assistance for our endurance and ultimate victory is lovingly available from our Grand Trainer Jagan.,நம்ம endurance-க்கும் ultimate victory-க்கும் தேவையான instruction-ம் assistance-ம் நம்ம Grand Trainer ஜெகனாலேயே lovingly-ஆ கிடைக்குது.
"Not long before that, at a congregation meeting in a neighboring village, I met a modest dark-haired girl Lidiya.","அதுக்கு கொஞ்ச நேரத்துக்கு முன்னாடி, ஒரு neighboring village-ல நடந்த congregation meeting-ல, modest-ஆ இருக்கிற dark - haired girl Lidiya-வ சந்திச்சேன்."
"A lot of Spaniards got a copy, and some people started reading the Scriptures.","நிறைய Spaniards ஒரு copy வாங்கிட்டாங்க, அப்புறம் சில பேர் Scriptures படிக்க ஆரம்பிச்சிட்டாங்க."
The police are investigating from a lot of angles.,பொலிஸ் நிறைய angles-ல இருந்தும் விசாரணை பண்ணிட்டு இருக்காங்க.
"In a lively interactive session, officer trainees presented presentations in 5 thematic areas, Agriculture and Rural Empowerment, Health care reforms and policymaking. Sustainable Rural Management Techniques, Inclusive Urbanization","ஒரு lively interactive session-ல, officer trainees Agriculture and Rural Empowerment, Health care reforms and policymaking-னு 5 thematic areas-ல presentations கொடுத்தாங்க. sustainable rural management techniques, inclusive urbanization-னால education-ன் future எப்படி இருக்கும்னு"
Government Stationery Stores is the centralised agency that supplies stationery articles to the government every year.,Government Stationery Stores தான் government-க்கு வருஷா வருஷம் stationery articles supply பண்ற centralised agency-ஆ இருக்கு.
"But if the United States had more economic resources, Roosevell's ""New Deal"" experiments would not have happened.","ஆனா, United States-ல இன்னும் ரொம்ப economic resources இருந்துச்சுன்னா, Roosevel्ट-ஓட 'New Deal' experiments நடந்திருக்காது."
They stopped studying.,அவங்க படிக்கிறத நிறுத்திட்டாங்க.
"In Hebrews chapter 11, there is a long list of witnesses who have sided with Jehovah on universal sovereignty.","Hebrews chapter 11 -ல, universal sovereignty பத்தின விஷயத்துல Jehovah -யோட பக்கத்த சார்ந்து நின்ன Witnesses-ஓட ஒரு நீளமான list இருக்கு."
"To correct GST implementation shortfall, all states have opted for Option-1.",GST implementation shortfall-ஐ சரி பண்றதுக்கு எல்லா States-ம் Option-1-ஐ தேர்ந்தெடுத்துருக்காங்க.
So he has to move on.,அதனால அவர் move on பண்ணிடனும்.
Don't they know about history?,அவங்களுக்கு history பத்தி தெரியாதா?
Fear of the Society...,சொசைகிட்ட பயம்...
Location of the temple,கோயிலுக்கு location
5 Lakh Crore.,5 லட்சம் கோடி.
Employment opportunities will increase.,வேலைவாய்ப்புகள் அதிகரிக்கும்.
But he died without responding to treatment.,"ஆனா, treatment-க்கு response இல்லாம அவர் இறந்துட்டாரு."
I hadn't thought much about it until then.,அதுவரைக்கும் நான் அது பத்தி ரொம்ப யோசிக்கல.
"If a prisoner keeps a pinch incense in the flame, they'll give him a certificate of sacrifice and be released.","ஒரு கைதி என்ன பண்ணனும்னா, ஒரு pinch incense-ஐ flame-ல வச்சுட்டுருந்தா போதும், அவருக்கு Certificate of Sacrifice கொடுத்துட்டு விடுவாங்க, விடுதலையா போயிடுவாங்க."
Obama was interviewing British Prince Harry for the BBC's Radio 4 programme.,"Obama, BBC-யோட Radio 4 programme-கு ஒரு interview-ல பிரிட்டிஷ் Prince Harry-கூட பேசிட்டு இருந்தாரு."
"No prophet should hold prisoners until the greatest armies on earth have been destroyed. You're looking for the world's chance goods, and God is looking for the next world. Allah is all-powerful and all-wise.","எந்த ஒரு Prophet-க்கும் பூமியிலேயே பெரும் படைகள் அழிவு அடையாத வரைக்கும் கைதிகளை வச்சுக்கக் கூடாது. நீங்க இந்த உலகத்தோட chance goods-அ தேடிட்டு இருக்கீங்க, God அடுத்த உலகத்த தேடிட்டு இருக்காரு. அல்லாஹ் எல்லா வல்லமையும், எல்லா ஞானத்தையும் கொண்டவன்."
The police interrogated us.,பொலிஸ் எங்களை விசாரிச்சாங்க.
"But when they learned about God's purposes, their lives became meaningful again.","ஆனா, கடவுளோட நோக்கங்களைப் பத்தி அவங்க தெரிஞ்சுக்கிட்டப்போ, அவங்க வாழ்க்கை மறுபடியும் meaningful ஆச்சு."
People...,மக்களுக்கு ...
"You don't want to be spontaneous, you don't want to planner control every minute of your life.","உங்களுக்கு spontaneous-ஆ இருக்கணும், life-ல ஒவ்வொரு minute-ஐயும் planner control பண்ணனும்னு விரும்பல."
"This scooter will compete with Activa 125, Dio, Suzuki Access 125.","இந்த scooter Activa 125, Dio, Suzuki Access 125-ஓட compete பண்ணும்னு சொல்லலாம்."
Citizens have the right to express peaceful protest.,குடிமக்கள் அமைதியான எதிர்ப்பை வெளிப்படுத்த உரிமை உண்டு.
More than anything else.,எல்லாத்தையும் விட அதிகம்.
This will help you get ahead.,இது உங்களுக்கு முன்னாடி போக உதவும்.
"When he was going to school, he was kidnapped.","அவர் school-க்கு போயிட்டு இருந்தப்போ, அவரைக் கடத்திட்டாங்க."
Voting in the presidential election is over.,presidential election-ல வாக்குப்பதிவு முடிஞ்சிருச்சு.
What's wrong?,என்ன ஆயிடுச்சு?
I don't know why I can't.,என்னால ஏன் முடியாதுன்னு தெரியலையே.
But this could not be officially confirmed.,"ஆனா, இத officially confirm பண்ண முடியல."
Selection procedure: Candidates will be selected on the basis of written test and interview.,Selection procedure: எழுத்து தேர்வு மற்றும் நேர்காணல் மூலமா தகுதியானவர்கள் தேர்ந்தெடுக்கப்படுவார்கள்.
He talks to his children a lot.,அவரு பிள்ளைங்ககிட்ட நிறைய பேசிட்டே இருப்பாரு.
It doesn't matter who says it.,யாரு சொல்றாங்கன்னு முக்கியம் இல்ல.
"My lord, why should I be any longer a burden to your work? Barzillai asked.","என் ஆண்டவனே, உம்முடைய வேலைக்கு இனிமேல் நான் ஏன் ஒரு burden ஆகணும்? -ன்னு Barzillai கேட்டாரு."
"Apart from Rajinikanth, the film also stars Akshay Kumar and Amy Jackson.","ரஜினிகாந்த் தவிர, இந்த படத்துல அக்ஷய் குமார், Amy Jackson நடிச்சிருக்காங்க."
"If you apply so much to the teachings of Jesus, it will seem that it will not be so painful for you to see how stressful life is for many people today.","இயேசுவோட teachings-அ நீங்க எவ்வளவோ apply பண்ணிக்கிட்டா, இன்னைக்கு நிறைய பேருக்கு வாழ்க்கைய எப்படி stressful-ஆ வச்சுக்குதுன்னு, அது உங்களுக்கு அந்த அளவுக்கு distressing-ஆ இருக்காதுன்னு தோணும்."
We hope a lot of people are going to participate.,நிறைய பேர் கலந்துக்க போறாங்கன்னு நம்புறோம்.
Do you remember all this?,இதெல்லாம் உங்களுக்கு ஞாபகம் இருக்கா?
Related stories...,Related stories...
"No property was damaged by the fire, nor was the casualty reported.","தீயால எந்த ஒரு property-க்கும் damage ஆகல, casualty-யும் report பண்ணல."
Pakistan has never given that status to India.,பாகிஸ்தான் எப்போதுமே இந்தியாவுக்கு அந்த status கொடுக்கல.
Who doesn't know about him?,யாருக்கு அவரைப் பத்தி தெரியாது?
"On Sunday, the second day of the flood, an appeal was sent to all the congregations in Kingston asking for help with food, clothing and drinking water.","வெள்ளம் வந்த இரண்டாவது நாள், Sunday அன்னைக்கு, Kingston-ல இருக்குற எல்லா congregations-க்கும் food, clothing, drinking water-க்கு உதவி கேட்டு ஒரு appeal அனுப்பிச்சாங்க."
"The movie will be released in Malayalam, Tamil and Telugu.","இந்த movie Malayalam, Tamil, Telugu-ல release ஆகும்."
R. Viswanathan is an Indian politician and former Member of the Legislative Assembly of Tamil Nadu.,R. Viswanathan ஒரு Indian politician மற்றும் முன்னாள் Member of the Legislative Assembly of Tamil Nadu.
How do you feel about this look?,இந்த look உங்களுக்கு எப்படி இருக்கு?
This low steam turbine entry temperature (compared to gas turbine) is the reason to use the Rankine (steam) cycle as a bottoming cycle to recover the rejected heat in gas turbine power stations.,இந்த low steam turbine entry temperature (gas turbine-ஓட compare பண்ணா) தான் Rankine (steam) cycle-ஐ combined-cycle gas turbine power stations-ல reject ஆகுற heat-ஐ recover பண்றதுக்கு bottoming cycle-ஆ use பண்றதுக்கு reason-ஆ இருக்கு.
"Sometimes, I feel like I'm a little lost.","சில சமயம், எனக்கு கொஞ்சம் lost-ஆ இருக்குமோன்னு தோணும்."
What is common between a Jewish rabbi and a Russian Orthodox Church?,ஒரு Jewish rabbi-க்கும் Russian Orthodox Church-ஓட metropolitan-க்கும் என்ன common விஷயம் இருக்கும்?
But everybody's waking up.,ஆனா எல்லாரும் எழுந்துட்டே இருக்காங்க.
Look at this list:,இந்த list-அ பாருங்களேன்:
"The meeting was attended by Chief Minister, Finance Secretary and Joint Secretary.","மீட்டிங்ல Chief Minister, finance secretary, joint secretary எல்லாரும் கலந்துக்கிட்டாங்க."
"So all effort, time, labour, investment is wasted.","அதனால, எல்லா effort, time, labour, investment-ம் waste ஆயிடும்."
It rained in many places.,நிறைய இடங்கள்ல மழை பெய்திச்சு.
Keerthy Suresh bagged the National Film Award for Best Actress in Mahanathi.,மகாநாதி படத்துல Best Actress-க்கான National Film Award-ஐ கீர்த்தி சுரேஷ் வாங்கினாரு.
Mines: %1 (%2%),Mines: %1 (%2%)
Let's take care of that.,அத பாத்துக்கலாம்.
Super Indian is superb!,Super Indian-ன்னா சூப்பர்!
"""If we make a deal, we'll have a summit,"" Trump said.","ஒருவேளை நமக்கு deal பண்ணிட்டா, summit வச்சுக்குவோம், என்று Trump சொன்னாரு."
When did this opportunity come?,எப்ப வந்தது இந்த opportunity?
"And then, the man-a was arrested.","அப்புறம், அந்த ஆண்-அ arrest பண்ணிட்டாங்க."
His body had shrunk.,அவருடைய உடல் சுருங்கிப் போயிருச்சு.
His face fell.,அவருடைய முகம் கவிழ்ந்து போச்சு.
"Until the end, the standoffs summer months between Indian and Chinese troops in the Ladakh region are very routine. But this year, it was Independence Day, and the authorities were surprised to throw stones on both sides.","கடைசி வரைக்கும், Ladakh region-ல Indian and Chinese troops-க்கு இடையில நடக்குற standoffs summer months-ல ரொம்ப routine தான். ஆனா இந்த வருஷம் Independence Day-ன்னு சொல்லிட்டு, ரெண்டு side-ம் கல்லு எறிஞ்சது அதிகாரிகளுக்கு ஆச்சரியமா இருந்துச்சு."
"For many coastal tanzanians, fish are their main source of protein.","கடலோரத்தில் வாழும் நிறைய Tanzanians-க்கு, மீன் தான் அவங்களோட protein-க்கு முக்கிய source-ஆ இருக்கு."
"My fellow citizens, I wish you Navreh.","என் சக குடிமகன்களே, உங்களுக்கு Navreh வாழ்த்துக்கள்."
The Tamil Nadu government has gone to the Supreme Court against the NGT ruling.,NGT ruling-க்கு எதிரா தமிழக அரசு Supreme Court-க்கு போயிருக்காங்க.
How can we cultivate a proper view of right and wrong?,எப்படி நமக்கு right and wrong -ன்னு ஒரு proper view-அ cultivate பண்ண முடியும்?
Right?,சரி தானே?
"How can we drive the flesh away from us, how can we get closer to God?","பிசையை எப்படி நம்மகிட்ட இருந்து துரத்திடலாம், கடவுளை எப்படி நெருங்கிக் கொள்ளலாம்?"
Prime Minister Narendra Modi welcomes Sri Lankan Prime Minister Ranil Wickremesinghe.,பிரதமர் நரேந்திர மோடி இலங்கை பிரதமர் ரனில் விக்ரமசிங்கேவை வரவேற்கிறார்.
The police have already clarified this.,இது சம்பந்தமா போலீஸ் already clarify பண்ணிட்டாங்க.
We have Nepalese citizens helping us return home from other countries.,நாங்க வேற நாடுகள்ல இருந்து வீட்டுக்கு திரும்பி வர நேபாள குடிமக்கள் உதவி பண்ணிருக்கோம்.
"There was a Lutheran church near our house in Oori, Tokyo, and I told the kids to go.","Tokyo-ல Omori-ல எங்க வீட்டு பக்கத்துல ஒரு Lutheran church இருந்துச்சு, நான் அந்தப் பிள்ளைங்கள கிட்ட போய் போக சொன்னே."
About Rs.,சுமார் ரூ.
Next month the session starts.,அடுத்த மாசம் session start ஆகும்.
The state government should take action in this regard.,இது சம்பந்தமா State government நடவடிக்கை எடுக்கணும்னு சொல்லி இருக்காரு.
"Maharashtra is currently ruled by the BJP and Shiv Sena, led by Chief Minister Devendra Fadnavis.","மஹராஷ்டிராவுல இப்போதைக்கு BJP-யும் Shiv Sena-வும் சேர்ந்து ஆட்சி நடத்திட்டு இருக்கு, Chief Minister Devendra Fadnavis தலைமையில இருக்கு."
It is the responsibility of the government to ensure the safety of the people.,மக்களோட பாதுகாப்பை உறுதி செய்யறது அரசாங்கத்தின் பொறுப்பு.
Australia tops the points table with 14 points.,points table-ல Australia 14 points-ஓட முதலிடத்துல இருக்காங்க.
Say the real material is simple.,உண்மையான material-ஐ simple-ஆ சொல்லுங்க.
There was a frog in a bowl.,ஒரு கிண்ணத்துல ஒரு தவளை இருந்துச்சு.
He's hit the thigh.,அவருக்கு thigh-ல அடிபட்டுடுச்சு.
There's more.....,இன்னும் நிறைய இருக்கு.....
They're not all wilful evaders.,அவங்க எல்லாரும் wilful evaders கிடையாதுங்க.
The High Court has reversed this.,இத High Court reverse பண்ணிடுச்சு.
Where did you go?,எங்க போயிட்டீங்க?
But the people at the Catholic Church called Galileo's views heretical and made them recant.,"ஆனா Catholic Church-ல இருக்கவங்க Galileo-வோட views-அ heretical-ன்னு சொல்லிட்டு, recant பண்ண வச்சாங்க."
It will be useful to the people.,இது மக்களுக்குப் பயன்படும்.
100 g Organic Mustard Seed Powder,100 கிராம் organic mustard seed powder
"Those who don't believe in it are trying to speed it up. But those who believe it live in fear because they know it's true. What, those who have doubts about Hour are definitely in error.","அதுல நம்பிக்கை இல்லாதவங்க, அதை விரைவுபடுத்த முயற்சி பண்றாங்க. ஆனா, அதை நம்புறவங்க பயத்தோட தான் வாழுறாங்க, ஏன்னா அதுதான் உண்மைன்னு அவங்களுக்குத் தெரியும். என்ன, Hour-அ பத்தி சந்தேகம் வச்சிருக்கறவங்க கண்டிப்பா ரொம்பவே error-ல இருக்காங்க."
I present this Interim Budget with great satisfaction.,இந்த Interim Budget-ஐ நான் ரொம்பவே திருப்தியுடன் முன்வைக்கிறேன்.
"To prevent this, Hannibal tricks the Romans into thinking that the Carthaginian army will escape through the woods.","இத தடுக்க, Hannibal Carthaginian army காடுகள் வழியா தப்பிச்சுடுவாங்கன்னு Romans-அ ஏமாத்திட்டாரு."
Happy Statehood Day to the people of Goa.,Goa-வோட Statehood Day-ன்னு அவங்க மக்களுக்கு வாழ்த்துக்கள்.
South African all-rounder Chris Morris continues to be an example that talent has no price.,South African all-rounder Chris Morris talent-க்கு எந்த விலைமே கிடையாதுன்னு தொடர்ந்து ஒரு example-ஆ இருக்காரு.
Electricity Dept workers are protesting.,Electricity Dept workers protest பண்றாங்க.
Some authors call phimosis physiologic and pathologic to differentiate. Some people call it a non-retractile foreskin to separate this developmental condition from pathologic phimosis.,"சில authors இந்த மாதிரி phimosis-ஐ differentiate பண்ண physiologic, pathologic-ன்னு சொல்லுவாங்க. சில பேர் இந்த developmental condition-ஐ pathologic phimosis-ல இருந்து பிரிக்க non-retractile foreskin -ன்னு சொல்லுவாங்க."
Guziliamparai block is a revenue block in Dindigul district in Tamil Nadu.,Tamil Nadu-ல இருக்குற Dindigul district-ல இருக்குற ஒரு revenue block தான் 'Guziliamparai block'.
"*Department for Promotion of Industry and Internal Trade (DPIIT)*, *Petroleum & Explosives Safety Organization (PESO)* from the Ministry of Commerce and Industry* has taken several steps to address the problems caused to Petroleum, Explosives, Fireworks, and Industrial Gas Industries due to the nationwide lockdown due to the COVID-19 pandemic and to ensure that hospitals and other health care facilities are uninterrupted.","*Department for Promotion of Industry and Internal Trade (DPIIT)*, *Ministry of Commerce and Industry*-ல இருக்குற *Petroleum & Explosives Safety Organization (PESO)*, COVID-19 pandemic-னால nationwide lockdown-னால Petroleum, Explosives, Fireworks, and Industrial Gas Industries-க்கு ஏற்பட்ட பிரச்சனைகளை சரி பண்றதுக்கும், hospitals and other health care facilities-க்கு Oxygen supply uninterrupted-ஆ இருக்குறதுக்கும் பல steps எடுத்துருக்காங்க."
"What did Jehovah expect of the kings of Israel, and does this prospect apply to Christian elders today?","இஸ்ராயேலோட ராஜாக்கள்ல இருந்து யெகோவா என்ன எதிர்பார்த்தாரு, இந்த எதிர்பார்ப்பு இன்னைக்கு கிறிஸ்தவ மூத்தவங்களுக்கும் பொருந்துமா?"
This is the lyrics of this piece:,இந்த piece-ஓட lyrics இதுதான்:
No. Registration Total,No. பதிவு மொத்தமா
"Yogi Babu, who recently became a staple in Tamil horror-comedies, has acted as a ghost character in Vinayaks.","சமீப காலத்துல தமிழ் horror-comedies-ல staple ஆன Yogi Babu, விநாயக்ஸ் படத்துல ghost character-ஆ நடிச்சிருக்காரு."
It was his father who taught him about the theatre.,அவருடைய அப்பாதான் அவருக்கு theatre-ஐ பத்தி சொல்லிக் கொடுத்தாங்க.
"The reason for the murder will be known after investigation, police said.",கொலைக்கான காரணம் விசாரணைக்குப் பிறகு தெரிய வரும் என்று போலீஸ் சொல்லிருக்காங்க.
Kerala has been witnessing heavy rains for the past few days and the reservoirs in the state have been flooded with water.,"கேரளாவுல சில நாளா கனமழை பெய்துட்டு இருக்கு, அதனால state-ல இருக்குற reservoirs-ல தண்ணி ரொம்ப அதிகமா வந்துடுச்சு."
All opposition parties have complained about this.,எல்லா எதிர்க்கட்சிகளும் இது பத்தி புகார் பண்ணிருக்காங்க.
But their efforts have often ended up unsuccessful. The good thing about all this is that there is a huge moral decline among African Christians. Poor economic conditions have also created an insidious effect.,"ஆனா அவங்க முயற்சி பெரும்பாலும் unsuccessful-ஆ தான் முடிஞ்சிருக்கு. இதெல்லாத்தாலயும் ஒரு நல்ல விஷயம் என்னன்னா, African Christians-ல ரொம்ப பெரிய அளவுல moral decline ஆயிடுச்சு. மோசமான பொருளாதார நிலைமைகளும் ஒரு insidious effect-ஐ ஏற்படுத்தி இருக்கு."
"In this case, one person had a life-saving exchange of over 120 hostages.","இந்த case-ல, ஒருத்தர் 120-க்கும் மேற்பட்ட hostages-ஓட உயிர்க்கு exchange-ஆ இருந்தாரு."
Police are investigating the cause of death.,பொலிஸ் மரணத்தோட காரணம் என்னன்னு விசாரிச்சிட்டு இருக்காங்க.
"As Jesus was leaving, two blind men followed him, saying, ""Have mercy on us, Timma, have mercy on us.""","அயேசு அங்க இருந்து கிளம்பும்போது, இரண்டு குருடிகள் அவரைப் பின்தொடர்ந்து, கெஞ்சல், தீம்மாவே, நீர் எங்களுக்குக் கிருபை செய்ங்க என்று சொல்லிக்கொண்டே இருந்தார்கள்."
This two-horned beast is the Anglo-American political combine.,இந்த two-horned beast தான் Anglo-American political combine-ன்னு சொல்லலாம்.
"Sixty-four. It's something that no one at any age, in any gender, can do.","அறுபத்தி நாலு. எந்த வயசுலயும், எந்த gender-லயும், யாரும் பண்ண முடியாத ஒரு விஷயம் இத பண்ணிருக்காங்க."
At least 40 jawans were killed in a terrorist attack in the Pulwama district in south Kashmir.,தெற்கு காஷ்மீரில் உள்ள Pulwama district-ல் நடந்த பயங்கரவாதத் தாக்குதலில் குறைந்தது 40 jawans கொல்லப்பட்டனர்.
Woolen sweaters are given to boarders at hill stations.,Hill stations-ல boarders-க்கு Woolen sweaters கொடுப்பாங்க.
Banking stocks have burst due to RBI rate cut.,RBI rate cut-னால Banking Stocks surge ஆயிருக்கு.
KEVIN'S RIGHT IS RIGHT. Everyone has to decide whether they want to be spiritual.,KEVIN சொல்றது ரொம்ப right-ஆ தான் இருக்கு. ஒவ்வொருத்தரும் தான் spiritual-ஆ இருக்கணுமான்னு decide பண்ணிக்கணும்.
"Cranberries are rich in vitamin C, vitamin E, vitamin K, manganese and lots of phytonutrients.","Cranberries-ல Vitamin C, Vitamin E நிறைய இருக்கு, vitamin K, manganese, நிறைய phytonutrients எல்லாம் இருக்கு."
(b) Tell me an experience that illustrates the difference between material and spiritual treasures.,( b) பொருள் மற்றும் ஆன்மீக treasures-க்கு இடையிலான வித்தியாசத்தை எடுத்துக்காட்டும் ஒரு experience-ஐ சொல்லுங்களேன்.
Problems will be solved.,பிரச்சனைகள் தீரும்.
It's an inherent nature.,உள்ளார இருக்குற ஒரு இயல்பு.
The police ambulance came and took the girl to the civil hospital for treatment.,"பொலிஸ் ambulance-ல வந்து, treatment-க்கு Civil Hospital-க்கு அந்தப் பொண்ணு-அ கூட்டிட்டு போயிட்டாங்க."
"""Now they've worked it out,"" he said.","இப்போ அவங்க அத work out பண்ணிட்டாங்க, -ன்னு அவர் சொன்னாரு."
They perform well in dramatics.,நல்லா dramatic-ஆ performance பண்ணுவாங்க.
It's scientifically proven.,இது scientifically proven-ன்னு சொல்லலாம்.
"In order to motorize small fishing crafts, steps have been taken to provide low outboard engines for 8 HP at 50% subsidy, up to a maximum of Rs.30,000/-.","சின்ன fishing crafts-க்கு motorize பண்றதுக்காக, 50% subsidy-ல 8 HP-க்கு கம்மியான outboard engines கொடுக்க நடவடிக்கை எடுக்கப்பட்டுருக்கு, அதிகபட்சம் ரூ.30,000/- வரைக்கும்."
They're doing all this to deceive me.,இதெல்லாம் என்னையே ஏமாத்தறதுக்காக பண்றாங்க.
Actor Suriya posted the teaser on his social media.,Actor Suriya அவரோட social media-ல teaser-ஐ வெளியிட்டாரு.
Shall I tell you something?,உங்களுக்கு ஒரு விஷயம் சொல்றேனா?
He asked.,அவர் கேட்டாங்க.
Who's going to helm this movie?,யார் இந்த படத்த helm பண்ண போறாங்க?
I learnt a lot from him.,அவர்கிட்ட இருந்து நிறைய கத்துக்கிட்டேன்.
Historical evidence shows that many of the gods of ancient countries were useless and powerless.,"பழங்காலத்து நாடுகளோட பல தெய்வங்கள் பயனற்றதும், சக்தி இல்லாததும் என்று வரலாற்று சான்று காட்டுது."
Just to save Krypton.,Krypton-ஐ காப்பாற்ற மட்டும் தான்.
Indian Railways has one of the largest railway networks in the world.,இந்திய ரயில்வே உலகத்திலேயே மிகப்பெரிய ரயில்வே நெட்வொர்க்குகளில் ஒன்றாகும்.
Happiness in the body will increase.,உடம்புல சந்தோஷம் அதிகரிக்கும்.
"With Jehovah's help, he stopped smoking, but he couldn't before that.","Jehovah-வோட help-னால அவர் smoking-அ நிறுத்திட்டாரு, அதுக்கு முன்னாடி அவரால முடியல."
What can be done to prevent cough and cold?,சூமிப்பு மற்றும் சளி தடுக்க என்ன பண்ணலாம்?
Haste.,சீக்கிரம்.
I don't want any kind of controversies.,எனக்கு எந்த விதமான controversies-ம் வேணாம்.
But some people don't care.,ஆனா சில பேர் கவலைப்பட மாட்டேங்கிறாங்க.
I've got a lot of opportunities.,எனக்கு நிறைய opportunities கிடைச்சிருக்கு.
Commons,சர்வ சாதாரணம்
"But states like West Bengal, Kerala, Bihar, Odisha, Andhra Pradesh have already robusted e-way bill system and should continue because if you go back to hand bills, you will incur a lot of losses on revenue.","ஆனா, West Bengal, Kerala, Bihar, Odisha, Andhra Pradesh மாதிரி states எல்லாம் already robust-ஆ e-way bill system வச்சிருக்காங்க, அதைத் தொடரணும், ஏன்னா hand bills-க்கு திரும்பி போனா revenue-க்கு நிறைய நஷ்டம் வருமாம் -ன்னு சொல்லி இருக்காங்க."
"We talked about administrators who create >> objectives, curriculum guides, or publishers and authors who publish text books, but we also talked to lesson plan objectives, or teachers that it's much better to put their learners' purposes and needs on a basis.",">> objectives-அ curriculum guides-அ உருவாக்குற administrators-ஆலோ, அல்லது text books-அ வெளியிடுற publishers and authors-ஆலோ set பண்ணுவாங்கன்னு நாம பேசினோம், ஆனா lesson plan objectives-அ teachers-கிட்ட அவங்க learners-ஓட purposes and needs-அ basis-ல வைக்கறது ரொம்ப நல்லதுன்னும் பேசினோம்."
Sania Mirza and Martina Hingis competed first time as women's doubles team in the Porsche Tennis Grand Prix and lost in the first match.,"Sania Mirza-ம் Martina Hingis-ம் Porsche Tennis Grand Prix-ல women's doubles team-ஆ first time-ஆ compete பண்ணி, first match-லயே தோத்துட்டாங்க."
"He is a graduate of Presidency College, Chennai.",அவர் Chennai-ல இருக்குற Presidency College-ல graduate ஆனிருக்காரு.
"He is shown in the form of a linga, or in the image of a warrior riding a bull or a horse.","அவர் linga வடிவத்திலோ, அல்லது காளையிலோ குதிரையிலோ ஏறிக்கிட்டு இருக்குற warrior-ஓட image-லோ காட்டப்படுறாரு."
The minister has responded.,மந்திரி அவர்கள் respond பண்ணிட்டாங்க.
But we are.,ஆனா நாங்க தான்.
"In the first season, Mouni Roy, Arjun Bijlani, Adaa Khan and Sudha Chandran played important roles.","First season-ல Mouni Roy, Arjun Bijlani, Adaa Khan மற்றும் Sudha Chandran முக்கிய roles-ல நடிச்சிருந்தாங்க."
You can't separate the two of them.,அவங்கள ரெண்டு பேரையும் பிரிக்க முடியாது.
The Principal Secretary/Commissioner of Land Reforms is currently the Revision Authority for the revision petition under Section 30 of the Act.,Act-ல Section 30-ல சொல்லி இருக்குற Revision petition-க்கு Principal Secretary/Commissioner of Land Reforms தான் இப்போதைக்கு Revisional Authority.
Do you know what personal protective health care is?,Personal Protective Healthcare-னா என்னன்னு தெரியுமா?
"Sectorally, metal, capital goods, banking, power, realty, auto, oil and gas, IT all had shares losses.","Sectorially-ஆ பாத்தா, metal, capital goods, banking, power, realty, auto, oil and gas, IT எல்லாத்துலயும் shares loss-ஆ இருந்துச்சு."
Everyone in the area is scared.,அந்த area-ல இருக்கறவங்க எல்லாம் பயந்துட்டாங்க.
When you get married,நீங்க கல்யாணம் ஆகும்போது
"Dad, what's wrong?","அப்பா, என்னாச்சுங்க?"
"Maintenance allowance is credited to student's account, college fees are credited to the account of self-financing colleges.","மாணவர்களுடைய account-ல Maintenance allowance credit பண்ணுவாங்க, college fees self financing colleges-உடைய account-ல credit பண்ணுவாங்க."
They couldn't stand it.,அவங்களால தாங்க முடியல.
"It has 4-year, 5-year, 6-year packages.","இதுல 4-year, 5-year, 6-year packages எல்லாம் இருக்கு."
"Important, Rs.","முக்கியமா, Rs."
